"sample_metag","sample_metat","sample_metag_nreads","sample_internal","Layer","polar","Latitude","Longitude","Temperature","Oxygen","sample_id"
"TARA_SAMEA4397756_METAG","TARA_SAMEA4397768_METAT",333399504,"TARA_B110000285","SRF","polar",71.5955,160.9383,1.48885,340.44375,"Sample_114"
"TARA_SAMEA4397798_METAG","TARA_SAMEA4397809_METAT",316883387,"TARA_B110000977","SRF","polar",71.0704,174.9916,2.4534,339.4475,"Sample_115"
"TARA_SAMEA4397903_METAG","TARA_SAMEA4397915_METAT",388986221,"TARA_B110000967","DCM","polar",73.3275,-168.8142,-0.987833,396.848083,"Sample_116"
"TARA_SAMEA4397842_METAG","TARA_SAMEA4397853_METAT",409493831,"TARA_B110000971","SRF","polar",73.3833,-168.1333,-0.585333,368.662625,"Sample_117"
"TARA_SAMEA4397930_METAG","TARA_SAMEA4397942_METAT",353650922,"TARA_B110000305","SRF","polar",71.8895,-154.9101,2.5694,336.04075,"Sample_118"
"TARA_SAMEA4398067_METAG","TARA_SAMEA4398077_METAT",394557214,"TARA_B110000908","DCM","polar",74.3386,-85.6208,-0.409335,343.877833,"Sample_119"
"TARA_SAMEA4398009_METAG","TARA_SAMEA4398022_METAT",468507827,"TARA_B110000902","SRF","polar",74.2987,-85.7806,-1.32986,368.52475,"Sample_120"
"TARA_SAMEA4398094_METAG","TARA_SAMEA4398105_METAT",381072843,"TARA_B110000879","SRF","polar",72.4693,-71.892,-0.479225,353.1935,"Sample_121"
"TARA_SAMEA4398219_METAG","TARA_SAMEA4398233_METAT",379835507,"TARA_B110000495","MES","polar",70.9433,-53.5127,3.03554,230.0861,"Sample_122"
"TARA_SAMEA4398176_METAG","TARA_SAMEA4398187_METAT",345688562,"TARA_B110000483","SRF","polar",70.9574,-53.5989,1.445315,328.54665,"Sample_123"
"TARA_SAMEA4398247_METAG","TARA_SAMEA4398261_METAT",338662287,"TARA_B110000858","SRF","polar",69.1136,-51.5086,3.1965,303.326,"Sample_124"
"TARA_SAMEA4398341_METAG","TARA_SAMEA4398354_METAT",316708020,"TARA_B110000467","MES","polar",64.7,-52.996,4.20173,273.02835,"Sample_125"
"TARA_SAMEA4398296_METAG","TARA_SAMEA4398309_METAT",291275927,"TARA_B110000459","SRF","polar",64.7127,-53.0106,2.496125,323.901563,"Sample_126"
"TARA_SAMEA4398413_METAG","TARA_SAMEA4398426_METAT",317965798,"TARA_B110000438","MES","polar",61.5754,-55.9846,4.791395,271.8744,"Sample_127"
"TARA_SAMEA4398370_METAG","TARA_SAMEA4398381_METAT",313501466,"TARA_B110000444","SRF","polar",61.5427,-55.9869,5.295265,293.84675,"Sample_128"
